"","title","date","place"
"175","哥倫比亞政府與革命軍和談未果 ","2016.03.24"," 哥倫比亞"
"176","歐巴馬允諾公開阿根廷政變時期之機密文件 ","2016.03.24"," 阿根廷"
"177","巴西總統：彈劾舉動形同政變 ","2016.03.23"," 巴西"
"178","美國總統歐巴馬對古巴民眾發表演說 ","2016.03.23"," 古巴"
"179","巴西財長宣布措施以填補預算缺口 ","2016.03.22"," 巴西"
"180","歐巴馬與古巴總統展開歷史性會談 ","2016.03.22"," 古巴"
"181","歐巴馬抵達古巴展開歷史性訪問 ","2016.03.21"," 古巴"
"182","智利眾議院通過有條件開放墮胎 ","2016.03.18"," 智利"
"183","巴西法官下令中止前總統魯拉入閣 ","2016.03.18"," 巴西"
"184","阿根廷眾議院通過與債權人達成之和解協議 ","2016.03.17"," 阿根廷"
"185","巴西前總統魯拉將入閣擔任幕僚長 ","2016.03.17"," 巴西"
"186","中國大陸漁船在阿根廷海域非法作業，遭海警隊擊沉 ","2016.03.16"," 阿根廷"
"187","巴西前總統魯拉可能出任部長職位 ","2016.03.15"," 巴西"
"188","歐盟與古巴簽署協議，推動關係正常化 ","2016.03.14"," 古巴"
"189","秘魯選舉委員會禁止兩位候選人參與總統大選 ","2016.03.10"," 秘魯"
"190","犯罪率創新高，薩爾瓦多可能宣布緊急狀態 ","2016.03.09"," 薩爾瓦多"
"191","牙買加新總理宣誓上任 ","2016.03.07"," 牙買加"
"192","巴西水壩潰堤災難，薩瑪爾戈公司同意支付44億里拉賠償金 ","2016.03.03"," 巴西"
"193","墨西哥大毒梟要求引渡美國受審 ","2016.03.03"," 墨西哥"
"194","涉嫌設立私人行刑隊，哥倫比亞前總統胞弟遭警方逮捕 ","2016.03.01"," 哥倫比亞"
"195","阿根廷和國際債權人達成償債協議 ","2016.03.01"," 阿根廷"
"196","「世衛」秘書長：「茲卡」疫情恐有擴散之虞 ","2016.02.26"," 巴西"
"197","牙買加舉行國會大選 ","2016.02.26"," 牙買加"
"198","修憲公投失利，玻利維亞總統連任無望 ","2016.02.24"," 玻利維亞"
"199","祕魯油管漏油，汙染亞馬遜河流域 ","2016.02.23"," 祕魯"
"200","出口民調：玻利維亞公投未過關 ","2016.02.22"," 玻利維亞"
"201","教宗方濟各訪墨西哥，呼籲提供人民「真正的正義」 ","2016.02.15"," 墨西哥"
"202","天主教及東正教展開歷史性會晤 ","2016.02.15"," 古巴"
"203","海地國會選出臨時總統 ","2016.02.15"," 海地"
"204","歐巴馬承諾將資助哥倫比亞推動和平進程 ","2016.02.05"," 哥倫比亞"
"205","「茲卡」疫情延燒，南美衛生部長緊急會商 ","2016.02.04"," 烏拉圭"
"206","巴西：茲卡疫情不影響夏季奧運會的舉行 ","2016.02.02"," 巴西"
"207","睽違20載，古巴領導人首度訪歐 ","2016.02.02"," 古巴"
"208","聯合國同意設立代表團赴哥倫比亞監督停火 ","2016.01.26"," 哥倫比亞"
"209","海地選委會宣布總統決選無限期延後 ","2016.01.25"," 海地"
"210","海地週日如期舉行總統決選 ","2016.01.22"," 海地"
"211","宏都拉斯同意接受國際協助以徹底整頓司法 ","2016.01.20"," 宏都拉斯"
"212","巴西財長：巴西應削減財政支出 ","2016.01.19"," 巴西"
"213","拉美茲卡病毒恐導致新生兒小腦症，美國發布旅遊警告 ","2016.01.19"," 巴西"
"214","委內瑞拉總統宣布全國進入經濟緊急狀態 ","2016.01.18"," 委內瑞拉"
"215","瓜地馬拉涉貪前足協主席遭警方逮捕 ","2016.01.14"," 瓜地馬拉"
"216","墨西哥展開大毒梟引渡美國作業 ","2016.01.12"," 墨西哥"
"217","宏都拉斯強烈譴責北韓試爆氫彈 ","2016.01.11"," 宏都拉斯"
"218","中美洲3國元首將與拜登商討區域發展 ","2016.01.11"," 瓜地馬拉"
"219","巴西爆發「茲卡病毒」，政府籲暫勿懷孕 ","2016.01.06"," 巴西"
"220","委內瑞拉反對派陣營選出新國會議長 ","2016.01.05"," 委內瑞拉"
"221","墨西哥女市長上任1天即遭槍殺 ","2016.01.04"," 墨西哥"
"222","巴西茲卡病毒疫情緩步上升 ","2015.12.30"," 巴西"
"223","阿根廷新總統推自由市場改革整頓經濟 ","2015.12.28"," 阿根廷"
"224","阿根廷東北部發生洪災，上千人被迫撤離 ","2015.12.25"," 阿根廷"
"225","委內瑞拉舊國會出「奧步」，搶先批准最高法院法官任命案 ","2015.12.24"," 委內瑞拉"
"226","墨西哥央行總裁：墨國可望維持低通膨環境 ","2015.12.24"," 墨西哥"
"227","宏都拉斯總統接任「中美洲統合體」輪值主席 ","2015.12.22"," 薩爾瓦多"
"228","巴西工會人士遊行，聲援總統羅賽芙 ","2015.12.17"," 巴西"
