2015/12/16 - 2016/12/21,,,,,,洲平均,
,,緯度,經度,,,,
Angola,1,-11.120969,17.522599,,,,
Belarus,1,53.423531,27.57122,,,,
Belize,1,17.112356,-88.295154,,,,
Burkina Faso,1,12.1418,-1.334173,,,,
Cadar,1,25.211737,51.110198,,,,
Cambodia,1,12.335644,104.592747,,,,
Chad,1,15.2715,18.435595,,,,
Djibouti,1,11.49305,42.352499,,,,
Dominican,1,18.44085,-70.094554,,,,
Dubai,1,25.121746,55.161482,,,,
Erectile Asia,1,,,,,,
Estonia,1,58.354298,25.004899,,,,
Fiji,1,-17.424814,178.035411,,,,
Finland,1,61.55268,25.445335,,,,
Holy See,1,41.54105,12.27122,,,,
Ivory Coast,1,7.322396,-5.324949,,,,
Jordan,1,30.350659,36.141829,,,,
Kuwait,1,29.184198,47.285436,,,,
Kyrgyzstan,1,41.121577,74.455795,,,,
Lebanon,1,33.5117,35.514423,,,,
Liberia,1,6.2541,-9.25462,,,,
Madagascar,1,-18.460101,46.520879,,,,
Moldova,1,47.244187,28.221159,,,,
Montenegro,1,42.4223124,19.22278,,,,
Palestine,1,31.91222,35.22028,,,,
Portugal,1,39.235954,-8.132803,,,,
Romania,1,45.563538,24.580023,,,,
Sao Tome and Principe,1,0.11109,6.364709,,,,
Swaziland,1,-26.312101,31.275712,,,,
United Arab Emirates,1,23.252667,53.505214,,,,
Uzbekistan,1,41.223897,64.350694,,,,
總計,1857,,,,,,
